waypoint1	waypoint2	distance_m	duration_s
Michigan State Capitol, Lansing, MI 48933	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1242190	41580
Minnesota State Capitol, St Paul, MN 55155	New Mexico State Capitol, Santa Fe, NM 87501	1931932	64455
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	State House, 107 North Main Street, Concord, NH 03303	258007	9036
State House, 107 North Main Street, Concord, NH 03303	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	5020691	166640
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Missouri State Capitol, Jefferson City, MO 65101	548413	21278
Maine State House, Augusta, ME 04330	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	5227421	169692
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2969285	97197
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	North Dakota State Capitol, Bismarck, ND 58501	2668685	87073
Massachusetts State House, Boston, MA 02108	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2396299	79094
500 E Capitol Ave, Pierre, SD 57501	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1798030	61440
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	593674	18813
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	473386	16157
Nevada State Capitol, Carson City, NV 89701	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2710776	91569
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Utah State Capitol, Salt Lake City, UT 84103	1719270	55649
Missouri State Capitol, Jefferson City, MO 65101	New Mexico State Capitol, Santa Fe, NM 87501	1436727	49986
Illinois State Capitol, Springfield, IL 62756	Michigan State Capitol, Lansing, MI 48933	628469	20726
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4958572	161309
State House, 107 North Main Street, Concord, NH 03303	Oklahoma State Capitol, Oklahoma City, OK 73105	2691875	90772
Michigan State Capitol, Lansing, MI 48933	Missouri State Capitol, Jefferson City, MO 65101	937965	31986
L St & 10th St, Sacramento, CA 95814	Minnesota State Capitol, St Paul, MN 55155	3104343	99206
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Maine State House, Augusta, ME 04330	410528	13908
200 E Colfax Ave, Denver, CO 80203	Illinois State Capitol, Springfield, IL 62756	1465413	47307
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	832772	28700
Georgia State Capitol, Atlanta, GA 30334	Minnesota State Capitol, St Paul, MN 55155	1803540	57825
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	3997144	130213
L St & 10th St, Sacramento, CA 95814	Michigan State Capitol, Lansing, MI 48933	3620857	115788
Oklahoma State Capitol, Oklahoma City, OK 73105	2 E Main St, Madison, WI 53703	1345956	43653
L St & 10th St, Sacramento, CA 95814	Illinois State Capitol, Springfield, IL 62756	3161763	102153
700 W Jefferson St, Boise, ID 83720	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	4018994	129588
700 W Jefferson St, Boise, ID 83720	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	782531	26498
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1365529	45341
North Carolina State Capitol, Raleigh, NC 27601	West Virginia State Capitol, Charleston, WV 25317	509177	17685
Georgia State Capitol, Atlanta, GA 30334	Illinois State Capitol, Springfield, IL 62756	999064	32984
Missouri State Capitol, Jefferson City, MO 65101	2 E Main St, Madison, WI 53703	697472	24636
500 E Capitol Ave, Pierre, SD 57501	2 E Main St, Madison, WI 53703	1044717	33797
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	2912212	94213
Indiana State Capitol, Indianapolis, IN 46204	Virginia State Capitol, Richmond, VA 23219	1010794	34251
L St & 10th St, Sacramento, CA 95814	500 E Capitol Ave, Pierre, SD 57501	2363213	77415
300 SW 10th Ave, Topeka, KS 66612	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1747472	58376
Nevada State Capitol, Carson City, NV 89701	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	4204933	135413
L St & 10th St, Sacramento, CA 95814	West Virginia State Capitol, Charleston, WV 25317	3990603	128404
Indiana State Capitol, Indianapolis, IN 46204	Louisiana State Capitol, Baton Rouge, LA 70802	1361626	43937
402 S Monroe St, Tallahassee, FL 32301	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4649050	153294
400-498 N West St, Jackson, MS 39201	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1270374	41520
New Mexico State Capitol, Santa Fe, NM 87501	Virginia State Capitol, Richmond, VA 23219	2934828	94724
300 SW 10th Ave, Topeka, KS 66612	Wyoming State Capitol, Cheyenne, WY 82001	1016181	31463
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Utah State Capitol, Salt Lake City, UT 84103	774034	23960
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Virginia State Capitol, Richmond, VA 23219	988289	32524
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Utah State Capitol, Salt Lake City, UT 84103	3661251	119563
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	State House, 107 North Main Street, Concord, NH 03303	2057414	71118
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Massachusetts State House, Boston, MA 02108	1996173	67259
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1381849	45111
Georgia State Capitol, Atlanta, GA 30334	Michigan State Capitol, Lansing, MI 48933	1252738	41204
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1994652	68186
Massachusetts State House, Boston, MA 02108	North Dakota State Capitol, Bismarck, ND 58501	2933033	96004
Massachusetts State House, Boston, MA 02108	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3980568	128983
Georgia State Capitol, Atlanta, GA 30334	Vermont State House, 115 State Street, Montpelier, VT 05633	1899513	63972
Rhode Island State House, 82 Smith Street, Providence, RI 02903	West Virginia State Capitol, Charleston, WV 25317	1161765	39170
L St & 10th St, Sacramento, CA 95814	State House, 107 North Main Street, Concord, NH 03303	4819339	158924
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	North Carolina State Capitol, Raleigh, NC 27601	910884	29998
700 W Jefferson St, Boise, ID 83720	Nevada State Capitol, Carson City, NV 89701	704765	25154
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2 E Main St, Madison, WI 53703	2099306	69153
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Vermont State House, 115 State Street, Montpelier, VT 05633	254720	11353
Massachusetts State House, Boston, MA 02108	Missouri State Capitol, Jefferson City, MO 65101	2115585	70091
300 SW 10th Ave, Topeka, KS 66612	Maryland State House, 100 State Cir, Annapolis, MD 21401	1837235	61612
New Jersey State House, Trenton, NJ 08608	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1050714	35100
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Nevada State Capitol, Carson City, NV 89701	2266886	73439
Michigan State Capitol, Lansing, MI 48933	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	879693	29478
North Carolina State Capitol, Raleigh, NC 27601	Oklahoma State Capitol, Oklahoma City, OK 73105	1956776	64348
Maine State House, Augusta, ME 04330	West Virginia State Capitol, Charleston, WV 25317	1458293	48973
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1655113	54297
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	300 SW 10th Ave, Topeka, KS 66612	1442611	46484
Georgia State Capitol, Atlanta, GA 30334	400-498 N West St, Jackson, MS 39201	614495	19988
400-498 N West St, Jackson, MS 39201	West Virginia State Capitol, Charleston, WV 25317	1287322	42222
400-498 N West St, Jackson, MS 39201	North Dakota State Capitol, Bismarck, ND 58501	2348747	76051
402 S Monroe St, Tallahassee, FL 32301	2 E Main St, Madison, WI 53703	1789589	59472
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	3317609	104970
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Nevada State Capitol, Carson City, NV 89701	3479126	113545
700 W Jefferson St, Boise, ID 83720	New Mexico State Capitol, Santa Fe, NM 87501	1550056	53298
Illinois State Capitol, Springfield, IL 62756	2 E Main St, Madison, WI 53703	425309	14163
200 E Colfax Ave, Denver, CO 80203	State House, 107 North Main Street, Concord, NH 03303	3137471	105061
700 W Jefferson St, Boise, ID 83720	Maryland State House, 100 State Cir, Annapolis, MD 21401	3864627	124802
New Mexico State Capitol, Santa Fe, NM 87501	North Carolina State Capitol, Raleigh, NC 27601	2813968	91738
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Virginia State Capitol, Richmond, VA 23219	329515	12289
700 W Jefferson St, Boise, ID 83720	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1892359	60122
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	300 SW 10th Ave, Topeka, KS 66612	412567	13577
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4775247	155847
Nevada State Capitol, Carson City, NV 89701	2 E Main St, Madison, WI 53703	3065319	98212
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Nevada State Capitol, Carson City, NV 89701	3008237	98511
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	400-498 N West St, Jackson, MS 39201	998879	32604
Indiana State Capitol, Indianapolis, IN 46204	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2687771	86111
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	561238	18612
402 S Monroe St, Tallahassee, FL 32301	300 SW 10th Ave, Topeka, KS 66612	1781527	59609
Illinois State Capitol, Springfield, IL 62756	300 SW 10th Ave, Topeka, KS 66612	601069	20299
Oklahoma State Capitol, Oklahoma City, OK 73105	Utah State Capitol, Salt Lake City, UT 84103	1910174	61271
Nevada State Capitol, Carson City, NV 89701	Oklahoma State Capitol, Oklahoma City, OK 73105	2470617	81431
200 E Colfax Ave, Denver, CO 80203	Georgia State Capitol, Atlanta, GA 30334	2253263	72325
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Wyoming State Capitol, Cheyenne, WY 82001	1944826	63897
700 W Jefferson St, Boise, ID 83720	North Carolina State Capitol, Raleigh, NC 27601	3930023	127547
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2133342	70075
North Dakota State Capitol, Bismarck, ND 58501	Utah State Capitol, Salt Lake City, UT 84103	1494404	50659
Minnesota State Capitol, St Paul, MN 55155	North Carolina State Capitol, Raleigh, NC 27601	1946878	65406
Georgia State Capitol, Atlanta, GA 30334	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	344561	11044
Illinois State Capitol, Springfield, IL 62756	West Virginia State Capitol, Charleston, WV 25317	845240	28756
Georgia State Capitol, Atlanta, GA 30334	Oklahoma State Capitol, Oklahoma City, OK 73105	1366425	44703
700 W Jefferson St, Boise, ID 83720	Vermont State House, 115 State Street, Montpelier, VT 05633	4229685	139263
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4892402	159857
Louisiana State Capitol, Baton Rouge, LA 70802	Oklahoma State Capitol, Oklahoma City, OK 73105	1015864	33185
L St & 10th St, Sacramento, CA 95814	Oklahoma State Capitol, Oklahoma City, OK 73105	2613800	84410
2 E Main St, Madison, WI 53703	Wyoming State Capitol, Cheyenne, WY 82001	1484756	48485
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Maryland State House, 100 State Cir, Annapolis, MD 21401	1692815	55799
L St & 10th St, Sacramento, CA 95814	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	4330179	139620
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	299648	11223
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Indiana State Capitol, Indianapolis, IN 46204	1065356	37437
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	3859065	125535
402 S Monroe St, Tallahassee, FL 32301	Massachusetts State House, Boston, MA 02108	2109968	69550
200 E Colfax Ave, Denver, CO 80203	402 S Monroe St, Tallahassee, FL 32301	2618684	86180
402 S Monroe St, Tallahassee, FL 32301	North Carolina State Capitol, Raleigh, NC 27601	992856	31413
State House, 107 North Main Street, Concord, NH 03303	500 E Capitol Ave, Pierre, SD 57501	2843783	95506
North Dakota State Capitol, Bismarck, ND 58501	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	2102664	66914
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1568253	51815
State House, 107 North Main Street, Concord, NH 03303	Vermont State House, 115 State Street, Montpelier, VT 05633	179010	6489
L St & 10th St, Sacramento, CA 95814	New Mexico State Capitol, Santa Fe, NM 87501	1836427	59949
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	207363	9437
Michigan State Capitol, Lansing, MI 48933	Utah State Capitol, Salt Lake City, UT 84103	2577637	83408
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3364264	108795
Georgia State Capitol, Atlanta, GA 30334	New Mexico State Capitol, Santa Fe, NM 87501	2222362	72213
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3998563	129865
Maine State House, Augusta, ME 04330	500 E Capitol Ave, Pierre, SD 57501	3111216	101613
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	1502867	49620
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	307125	10260
Georgia State Capitol, Atlanta, GA 30334	Maryland State House, 100 State Cir, Annapolis, MD 21401	1081985	35900
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	402 S Monroe St, Tallahassee, FL 32301	1080809	37715
Georgia State Capitol, Atlanta, GA 30334	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	402250	13550
200 E Colfax Ave, Denver, CO 80203	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	1079887	34163
New Jersey State House, Trenton, NJ 08608	North Carolina State Capitol, Raleigh, NC 27601	724043	24988
Illinois State Capitol, Springfield, IL 62756	Oklahoma State Capitol, Oklahoma City, OK 73105	952777	31056
200 E Colfax Ave, Denver, CO 80203	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2168898	71544
Missouri State Capitol, Jefferson City, MO 65101	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3273299	106865
Louisiana State Capitol, Baton Rouge, LA 70802	Maine State House, Augusta, ME 04330	2793719	91824
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1232677	41793
Maine State House, Augusta, ME 04330	North Dakota State Capitol, Bismarck, ND 58501	3181562	103973
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	4565848	148757
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Maryland State House, 100 State Cir, Annapolis, MD 21401	105428	4775
700 W Jefferson St, Boise, ID 83720	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	3806347	122952
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Massachusetts State House, Boston, MA 02108	1524831	51506
Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	Wyoming State Capitol, Cheyenne, WY 82001	2041008	66524
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Rhode Island State House, 82 Smith Street, Providence, RI 02903	261924	9367
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	500 E Capitol Ave, Pierre, SD 57501	1836022	59426
L St & 10th St, Sacramento, CA 95814	300 SW 10th Ave, Topeka, KS 66612	2735540	86835
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Maryland State House, 100 State Cir, Annapolis, MD 21401	3696277	121656
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	2088428	67752
Minnesota State Capitol, St Paul, MN 55155	North Dakota State Capitol, Bismarck, ND 58501	701087	22446
New Mexico State Capitol, Santa Fe, NM 87501	North Dakota State Capitol, Bismarck, ND 58501	1744158	57739
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1048367	34100
400-498 N West St, Jackson, MS 39201	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	887636	30379
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2702432	87897
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Michigan State Capitol, Lansing, MI 48933	858932	27982
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Oklahoma State Capitol, Oklahoma City, OK 73105	2249555	75636
400-498 N West St, Jackson, MS 39201	State House, 107 North Main Street, Concord, NH 03303	2377027	78660
New Mexico State Capitol, Santa Fe, NM 87501	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	2920958	95635
Minnesota State Capitol, St Paul, MN 55155	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1404656	44948
200 E Colfax Ave, Denver, CO 80203	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1857910	59410
Indiana State Capitol, Indianapolis, IN 46204	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	758123	25161
Maine State House, Augusta, ME 04330	State House, 107 North Main Street, Concord, NH 03303	276259	9459
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Oklahoma State Capitol, Oklahoma City, OK 73105	2446430	79979
Michigan State Capitol, Lansing, MI 48933	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	412504	15018
200 E Colfax Ave, Denver, CO 80203	Maryland State House, 100 State Cir, Annapolis, MD 21401	2704297	88692
Minnesota State Capitol, St Paul, MN 55155	Wyoming State Capitol, Cheyenne, WY 82001	1404721	44981
Maine State House, Augusta, ME 04330	2 E Main St, Madison, WI 53703	2076842	69179
200 E Colfax Ave, Denver, CO 80203	Indiana State Capitol, Indianapolis, IN 46204	1742380	56045
200 E Colfax Ave, Denver, CO 80203	North Dakota State Capitol, Bismarck, ND 58501	1115101	38101
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Utah State Capitol, Salt Lake City, UT 84103	3334079	108973
Massachusetts State House, Boston, MA 02108	Rhode Island State House, 82 Smith Street, Providence, RI 02903	80922	3429
500 E Capitol Ave, Pierre, SD 57501	Vermont State House, 115 State Street, Montpelier, VT 05633	2804324	94103
Maryland State House, 100 State Cir, Annapolis, MD 21401	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3564467	115391
Maine State House, Augusta, ME 04330	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	5288124	172748
700 W Jefferson St, Boise, ID 83720	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	3099564	99730
Massachusetts State House, Boston, MA 02108	2 E Main St, Madison, WI 53703	1828313	61209
402 S Monroe St, Tallahassee, FL 32301	State House, 107 North Main Street, Concord, NH 03303	2204942	72488
200 E Colfax Ave, Denver, CO 80203	Oklahoma State Capitol, Oklahoma City, OK 73105	1083636	34307
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Wyoming State Capitol, Cheyenne, WY 82001	1475367	50290
Massachusetts State House, Boston, MA 02108	Nevada State Capitol, Carson City, NV 89701	4654602	151821
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	West Virginia State Capitol, Charleston, WV 25317	1270451	42116
Vermont State House, 115 State Street, Montpelier, VT 05633	Virginia State Capitol, Richmond, VA 23219	1050611	36234
Utah State Capitol, Salt Lake City, UT 84103	Vermont State House, 115 State Street, Montpelier, VT 05633	3757481	124695
700 W Jefferson St, Boise, ID 83720	Missouri State Capitol, Jefferson City, MO 65101	2460836	79135
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	New Jersey State House, Trenton, NJ 08608	1572177	52148
L St & 10th St, Sacramento, CA 95814	Louisiana State Capitol, Baton Rouge, LA 70802	3538730	111996
Maryland State House, 100 State Cir, Annapolis, MD 21401	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	826173	27128
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1165604	38522
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	North Dakota State Capitol, Bismarck, ND 58501	2615571	86441
500 E Capitol Ave, Pierre, SD 57501	Wyoming State Capitol, Cheyenne, WY 82001	683055	24292
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Massachusetts State House, Boston, MA 02108	2090835	69190
Missouri State Capitol, Jefferson City, MO 65101	North Carolina State Capitol, Raleigh, NC 27601	1536148	51022
Maine State House, Augusta, ME 04330	Vermont State House, 115 State Street, Montpelier, VT 05633	289475	13631
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Nevada State Capitol, Carson City, NV 89701	4507409	146901
Missouri State Capitol, Jefferson City, MO 65101	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1462312	49251
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Minnesota State Capitol, St Paul, MN 55155	1205998	39979
Nevada State Capitol, Carson City, NV 89701	Vermont State House, 115 State Street, Montpelier, VT 05633	4628271	151723
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	New Jersey State House, Trenton, NJ 08608	1090072	36480
Maryland State House, 100 State Cir, Annapolis, MD 21401	New Mexico State Capitol, Santa Fe, NM 87501	3015313	99402
North Carolina State Capitol, Raleigh, NC 27601	Utah State Capitol, Salt Lake City, UT 84103	3456831	113481
Illinois State Capitol, Springfield, IL 62756	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2406938	78796
Louisiana State Capitol, Baton Rouge, LA 70802	New Mexico State Capitol, Santa Fe, NM 87501	1713974	56342
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	L St & 10th St, Sacramento, CA 95814	1212739	39283
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Louisiana State Capitol, Baton Rouge, LA 70802	1282198	41452
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Utah State Capitol, Salt Lake City, UT 84103	1420727	46101
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4831699	156802
Louisiana State Capitol, Baton Rouge, LA 70802	Utah State Capitol, Salt Lake City, UT 84103	2687549	90815
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	1839203	61628
Georgia State Capitol, Atlanta, GA 30334	New Jersey State House, Trenton, NJ 08608	1313933	43997
400-498 N West St, Jackson, MS 39201	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2126538	69411
Nevada State Capitol, Carson City, NV 89701	New Mexico State Capitol, Santa Fe, NM 87501	1693243	56970
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Louisiana State Capitol, Baton Rouge, LA 70802	1998869	66005
Indiana State Capitol, Indianapolis, IN 46204	Nevada State Capitol, Carson City, NV 89701	3322968	107832
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	700 W Jefferson St, Boise, ID 83720	3963934	129504
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	2 E Main St, Madison, WI 53703	815071	27390
State House, 107 North Main Street, Concord, NH 03303	West Virginia State Capitol, Charleston, WV 25317	1303077	43898
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Michigan State Capitol, Lansing, MI 48933	1083435	37056
300 SW 10th Ave, Topeka, KS 66612	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	990848	32330
Utah State Capitol, Salt Lake City, UT 84103	Wyoming State Capitol, Cheyenne, WY 82001	713122	23525
New Mexico State Capitol, Santa Fe, NM 87501	West Virginia State Capitol, Charleston, WV 25317	2475743	79579
L St & 10th St, Sacramento, CA 95814	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2834432	90751
North Carolina State Capitol, Raleigh, NC 27601	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2187972	71013
Minnesota State Capitol, St Paul, MN 55155	State House, 107 North Main Street, Concord, NH 03303	2197183	75922
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	3016589	98148
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Virginia State Capitol, Richmond, VA 23219	354652	12809
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	500 E Capitol Ave, Pierre, SD 57501	1812882	58938
400-498 N West St, Jackson, MS 39201	Missouri State Capitol, Jefferson City, MO 65101	874641	31336
Massachusetts State House, Boston, MA 02108	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1483876	50111
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Virginia State Capitol, Richmond, VA 23219	3620385	117508
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Maine State House, Augusta, ME 04330	4508978	147143
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Missouri State Capitol, Jefferson City, MO 65101	1157419	37405
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	2 E Main St, Madison, WI 53703	2729787	92557
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Minnesota State Capitol, St Paul, MN 55155	2088042	69073
Nevada State Capitol, Carson City, NV 89701	Virginia State Capitol, Richmond, VA 23219	4325191	139160
Georgia State Capitol, Atlanta, GA 30334	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4256079	138862
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Illinois State Capitol, Springfield, IL 62756	1404632	48551
300 SW 10th Ave, Topeka, KS 66612	Oklahoma State Capitol, Oklahoma City, OK 73105	473488	14970
