waypoint1	waypoint2	distance_m	duration_s
Minnesota State Capitol, St Paul, MN 55155	500 E Capitol Ave, Pierre, SD 57501	637790	24758
200 E Colfax Ave, Denver, CO 80203	500 E Capitol Ave, Pierre, SD 57501	844954	28891
Maryland State House, 100 State Cir, Annapolis, MD 21401	North Dakota State Capitol, Bismarck, ND 58501	2516932	82412
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Wyoming State Capitol, Cheyenne, WY 82001	2060175	66393
Michigan State Capitol, Lansing, MI 48933	New Jersey State House, Trenton, NJ 08608	1075790	35749
L St & 10th St, Sacramento, CA 95814	Wyoming State Capitol, Cheyenne, WY 82001	1754753	56379
Oklahoma State Capitol, Oklahoma City, OK 73105	Vermont State House, 115 State Street, Montpelier, VT 05633	2658421	89475
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2892480	94440
New Jersey State House, Trenton, NJ 08608	Rhode Island State House, 82 Smith Street, Providence, RI 02903	398918	14638
Nevada State Capitol, Carson City, NV 89701	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	1086169	39798
State House, 107 North Main Street, Concord, NH 03303	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	257015	11507
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	New Mexico State Capitol, Santa Fe, NM 87501	3113952	103431
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	West Virginia State Capitol, Charleston, WV 25317	722916	25012
Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2 E Main St, Madison, WI 53703	3161455	101928
402 S Monroe St, Tallahassee, FL 32301	Illinois State Capitol, Springfield, IL 62756	1392035	47416
400-498 N West St, Jackson, MS 39201	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2232241	73670
Massachusetts State House, Boston, MA 02108	North Carolina State Capitol, Raleigh, NC 27601	1157205	40000
402 S Monroe St, Tallahassee, FL 32301	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4701504	154659
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	257602	9388
Nevada State Capitol, Carson City, NV 89701	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	832440	31275
Maryland State House, 100 State Cir, Annapolis, MD 21401	State House, 107 North Main Street, Concord, NH 03303	781783	27513
Missouri State Capitol, Jefferson City, MO 65101	Wyoming State Capitol, Cheyenne, WY 82001	1282456	42028
